X,Y
0.829,0.714
1.636,7.969
2.429,2.929
2.029,6.411
0.732,3.841
3.251,4.918
2.979,6.359
-0.057,4.859
0.233,6.356
2.57,4.429
3.638,6.972
2.331,6.67
0.89,6.171
1.333,5.907
0.78,4.986
2.738,3.142
2.907,6.574
2.963,6.005
1.467,5.627
0.235,8.159
1.808,2.507
2.918,5.412
1.184,7.105
3.367,4.299
1.064,3.354
2.336,3.161
1.142,2.946
2.136,5.119
3.336,8.079
1.786,5.198
2.363,2.771
2.416,4.417
1.665,4.61
1.956,5.669
3.233,5.566
2.871,5.58
1.67,5.601
0.856,5.579
2.458,8.697
2.242,6.149
2.311,4.668
1.65,3.373
0.738,4.73
2.5,6.389
2.014,-0.154
2.109,6.439
1.946,7.11
1.036,1.239
2.103,6.387
0.028,4.958
0.136,6.46
3.235,5.499
-0.36,3.424
1.464,2.903
1.011,3.672
2.423,4.298
1.556,1.863
2.895,7.313
4.026,6.911
1.438,4.43
0.561,5.464
3.145,5.582
2.687,4.809
2.815,9.34
1.757,4.039
1.402,4.438
2.726,7.166
2.025,5.767
2.362,3.857
-0.001,3.796
2.623,3.966
1.878,2.824
1.836,4.855
3.039,3.723
1.061,4.097
3.591,6.694
0.539,5.169
2.289,7.203
2.369,4.329
2.206,4.238
3.724,8.05
1.509,2.998
0.008,3.09
3.471,3.336
1.469,5.97
4.034,5.64
1.579,3.938
1.528,5.378
1.569,4.267
4.943,5.711
1.618,1.626
2.072,7.137
1.83,4.912
1.592,3.434
2.449,3.838
2.213,2.441
-0.336,2.484
1.86,8.527
1.945,4.178
2.412,6.076
2.101,8.698
2.035,1.654
1.4,3.486
2.284,7.492
0.889,2.646
1.699,5.965
1.502,3.065
2.432,5.174
2.365,6.737
2.762,1.516
2.276,2.382
2.032,6.613
0.136,4.136
3.976,6.398
2.841,7.592
0.157,3.882
2.102,6.465
1.783,7.237
0.817,5.496
3.182,4.771
2.177,7.062
2.209,5.73
0.884,4.092
0.339,2.945
2.436,1.908
3.316,6.786
1.154,3.247
1.586,3.888
1.268,5.375
2.69,4.857
1.916,1.831
3.611,5.964
0.972,8.069
1.078,2.245
2.619,6.001
1.664,2.794
0.481,6.649
2.914,5.893
0.595,5.212
0.05,6.915
3.176,5.362
1.041,5.08
4.161,7.503
1.518,5.552
0.895,4.711
0.695,4.079
2.353,7.591
1.414,3.433
1.186,3.852
2.367,4.961
3.798,4.863
-0.611,5.472
1.871,3.259
2.095,4.975
0.878,7.072
1.285,2.223
1.536,6.225
0.168,0.89
1.438,4.777
2.299,3.514
3.965,5.918
2.211,4.247
1.308,4.001
1.233,4.402
3.151,6.289
4.001,8.462
1.061,5.483
1.232,6.712
2.37,5.027
3.085,5.009
1.406,6.059
2.459,5.748
1.209,5.054
2.732,6.633
1.016,2.421
1.609,4.752
2.858,3.659
1.103,6.464
2.467,6.904
0.768,4.817
1.725,6.09
0.456,3.1
2.438,6.202
2.404,4.712
1.482,3.393
1.461,7.17
1.85,4.972
-0.695,7.78
0.955,2.5
2.347,3.056
2.32,5.935
1.475,2.421
0.458,7.63
1.406,5.113
2.404,5.58
0.986,4.159
1.702,6.307
3.323,7.836
0.185,5.214
2.893,5.104
1.518,5.756
2.192,6.701
2.545,5.641
1.101,2.414
1.371,3.984
2.388,7.394
4.285,6.109
1.822,3.59
1.398,4.701
1.818,3.694
1.391,4.274
1.875,3.313
2.936,7.143
1.006,4.387
3.555,4.061
4.03,5.956
2.773,6.384
2.626,3.406
3.67,6.526
1.652,1.773
0.589,3.553
1.999,1.758
1.723,4.434
3.352,7.697
0.888,6.662
1.769,6.513
3.595,5.255
0.951,7.433
-0.254,5.51
1.547,5.178
2.114,2.231
1.891,6.348
2.706,7.881
1.766,6.471
-0.652,4.606
2.676,4.087
3.649,6.966
2.423,5.893
1.817,4.361
0.891,6.819
0.377,6.272
3.219,5.906
1.186,7.005
2.376,2.989
1.647,6.874
1.091,6.206
2.001,3.298
2.124,7.388
0.769,3.526
1.636,4.743
2.122,4.914
1.73,7.872
2.225,4.735
-0.179,5.328
2.531,3.647
1.504,5.411
1.99,6.18
1.336,3.71
1.052,6.099
2.105,5.986
1.683,3.371
2.799,4.435
2.691,5.203
0.978,3.502
2.772,3.411
2.692,7.633
1.682,4.248
2.3,7.058
2.157,4.923
2.866,4.54
1.73,4.543
3.523,6.116
2.197,4.117
1.721,6.862
2.52,4.702
2.999,5.585
0.753,1.927
2.814,5.648
3.275,5.488
1.159,2.744
1.779,5.172
2.893,6.026
0.149,5.028
2.585,3.95
2.8,8.646
2.409,1.062
3.961,3.571
2.926,4.931
1.866,5.055
2.529,6.455
1.714,5.792
1.669,4.437
0.857,1.147
2.036,1.883
1.346,2.003
2.745,8.741
2.945,9.67
1.861,4.035
2.195,5.917
2.198,6.519
1.423,3.706
1.389,3.059
1.767,3.609
2.966,4.204
1.974,2.615
2.788,6.599
2.188,7.749
0.92,6.401
1.793,3.237
1.293,7.386
1.876,5.46
2.034,5.148
0.179,1.767
4.621,5.538
3.139,2.912
3.212,6.151
2.679,4.079
1.136,6.458
1.695,7.085
3.655,7.691
2.005,3.346
2.876,5.576
0.657,2.284
1.101,5.46
1.58,3.777
-1.351,3.606
1.991,7.638
2.861,7.197
2.616,6.395
3.21,5.017
1.988,5.447
2.272,5.019
4.379,5.862
3.315,5.617
3.433,6.56
1.853,6.331
2.767,5.607
2.15,2.742
2.203,5.915
1.862,3.238
0.231,6.502
3.818,5.985
1.812,3.867
1.361,3.383
2.255,6.165
3.32,4.582
2.339,6.141
1.664,2.702
3.446,4.706
2.299,5.254
2.602,2.488
2.832,4.328
1.743,7.443
1.305,3.7
1.375,4.061
0.481,2.31
1.671,4.552
1.081,4.289
1.94,4.958
0.634,3.341
1.998,4.463
2.343,6.387
0.919,4.786
1.477,5.619
1.262,5.627
2.69,2.231
0.998,3.767
2.051,3.102
0.604,3.024
3.171,5.007
1.46,6.658
3.783,3.891
1.708,5.445
1.463,8.1
2.307,5.35
3.264,5.426
2.091,6.601
1.736,1.616
2.746,5.243
2.289,5.689
1.77,3.803
1.409,2.257
2.909,6.001
2.643,3.427
1.309,8.906
3.09,2.94
1.132,5.335
2.879,7.378
3.482,3.538
0.609,2.63
2.715,6.466
1.176,6.262
4.216,8.156
2.822,4.391
2.135,5.542
1.965,4.969
3.009,6.111
1.373,1.267
4.042,7.378
3.744,5.493
3.985,4.152
1.047,5.539
1.618,5.682
2.877,3.347
3.955,5.077
2.344,6.68
1.766,5.371
3.306,2.531
1.055,8.108
0.594,6.173
1.09,1.17
3.329,5.081
1.965,5.237
2.156,5.961
2.066,4.392
1.884,6.079
2.59,5.515
1.937,4.498
1.54,4.492
0.759,4.133
2.866,5.429
2.64,4.804
2.569,6.266
4.074,5.443
1.474,6.981
4.206,3.755
0.869,3.708
3.221,9.255
3.381,5.979
4.188,6.7
1.264,6.814
3.424,5.524
1.618,3.868
2.812,4.79
3.321,7.65
3.786,6.676
1.973,2.824
1.288,2.641
0.399,4.921
2.441,4.173
1.913,2.583
1.513,5.138
1.153,2.258
1.513,6.342
1.965,6.698
2.198,6.391
1.238,3.56
2.904,8.085
1.575,2.643
1.46,7.978
2.151,0.183
2.853,4.806
1.581,4.493
2.864,3.421
2.086,3.508
0.44,5.4
2.496,6.955
1.849,5.141
2.281,5.575
2.355,1.491
2.639,3.069
-0.198,5.945
1.965,5.727
2.14,2.613
0.783,3.159
1.854,5.236
1.604,7.793
1.958,8.858
1.182,7.509
-0.437,4.543
2.343,4.093
2.445,9.164
3.795,8.295
3.565,6.491
2.091,5.947
2.762,6.996
2.568,3.867
1.036,2.622
2.23,5.668
2.801,3.001
2.653,3.035
1.683,4.89
1.986,5.707
1.244,2.589
1.813,3.972
1.528,5.882
2.397,4.604
1.961,6.111
2.839,7.473
3.081,4.959
1.25,5.638
2.292,4.497
0.696,4.397
0.66,3.911
3.458,7.088
0.928,2.154
0.7,6.374
1.417,5.959
1.868,5.703
2.316,5.799
2.584,2.918
3.732,3.235
2.429,6.271
2.191,5.342
1.925,8.018
1.614,6.58
1.323,3.418
2.8,6.484
2.498,3.233
0.465,4.28
1.184,7.264
2.358,4.559
2.336,5.257
2.695,5.515
2.274,2.759
1.133,4.777
2.704,4.373
2.418,7.557
0.756,6.289
1.041,2.744
1.771,5.5
2.948,4.207
0.925,7.751
1.728,7.634
1.085,5.002
2.497,2.559
2.502,5.99
2.977,4.68
2.268,5.294
1.317,6.908
2.315,3.659
3.809,4.662
1.818,5.29
4.216,6.876
2.069,10.37
2.435,5.808
2.013,3.805
1.081,5.647
1.891,5.379
2.471,3.178
4.98,3.899
1.645,4.872
2.3,5.512
1.382,4.693
0.238,5.337
4.016,4.763
3.889,3.653
2.864,4.963
2.624,7.6
2.85,5.333
1.659,5.273
2.962,5.439
1.105,4.545
2.348,4.178
3.865,3.659
1.886,3.753
2.335,5.221
2.288,2.343
1.735,5.274
3.643,5.68
2.349,1.834
2.162,1.026
2.456,5.906
2.414,2.098
2.114,4.909
1.661,6.512
1.124,4.08
1.794,4.372
2.685,4.852
0.843,2.64
3.376,-0.333
2.083,7.166
2.252,5.764
1.621,5.243
0.707,2.041
2.726,7.569
0.958,5.217
1.122,1.862
2.555,4.113
1.135,3.429
0.653,3.498
3.342,4.957
2.596,5.734
3.223,4.833
0.723,4.812
4.039,3.993
1.714,5.107
3.308,6.468
1.585,5.095
0.954,7.313
1.192,7.055
2.933,4.551
1.586,5.279
1.589,3.433
3.206,3.46
1.205,3.308
2.809,7.207
1.327,5.163
1.385,6.422
2.361,6.308
1.957,6.07
2.283,2.4
4.121,6.217
2.186,5.783
-0.146,5.068
2.854,3.885
0.708,3.49
2.277,7.678
2.385,4.439
3.136,7.122
1.309,3.609
1.264,5.646
0.886,3.521
1.996,6.197
2.947,6.777
1.204,5.682
3.141,4.696
1.118,9.388
2.49,6.705
2.84,7.455
1.419,4.793
1.246,7.202
1.936,5.426
1.332,2.699
1.136,3.392
1.706,5.951
0.253,3.381
3.01,2.92
1.68,4.725
2.169,4.455
2.897,3.778
1.588,6.48
4.276,8.09
2.099,7.198
3.616,5.09
2.283,2.72
-0.119,5.217
3.547,5.676
1.911,3.332
1.613,7.979
3.381,2.962
1.656,2.647
3.077,5.396
1.116,4.968
2.153,4.468
2.256,6.79
1.179,4.567
3.714,4.999
0.659,4.908
2.847,6.315
2.657,4.581
2.973,1.022
2.687,5.709
3.463,4.969
2.138,1.055
0.042,1.842
2.309,4.172
1.195,3.45
1.939,3.047
0.852,5.407
2.487,6.577
2.777,9.403
0.97,4.838
1.977,6.629
0.927,7.329
0.982,4.513
1.571,4.38
2.008,5.555
2.833,6.666
1.514,8.249
2.637,6.645
1.698,4.628
3.107,5.1
4.038,5.136
1.377,5.164
3.551,3.586
4.197,7.32
1.254,5.879
2.104,6.045
1.727,5.219
3.816,4.356
1.857,5.105
-0.006,4.353
0.281,4.981
2.272,3.418
3.101,2.475
4.336,3.86
1.707,4.705
-0.049,4.375
3.693,6.68
3.932,6.104
2.409,6.698
2.278,5.332
2.416,1.84
1.558,5.372
2.737,4.644
1.626,3.642
1.774,3.943
2.636,7.053
3.557,6.579
2.568,3.271
2.224,6.017
2.03,6.362
0.522,4.997
1.197,5.568
3.692,3.48
2.266,6.639
1.062,5.134
2.46,6.068
1.436,6.478
0.093,3.187
0.199,5.658
1.59,3.831
1.933,5.862
1.822,4.088
2.163,5.661
1.27,4.744
2.272,6.536
3.795,5.881
2.239,5.438
1.122,6.292
1.787,4.751
2.368,4.183
2.068,6.298
2.848,2.68
2.267,8.49
1.932,1.449
2.33,5.175
3.829,5.06
0.966,1.853
2.666,6.47
3.38,5.618
2.435,4.079
1.379,1.413
1.532,6.567
1.868,5.175
0.098,3.031
1.322,6.309
1.082,4.228
0.78,7.582
0.986,3.061
1.391,8.547
3.307,4.127
2.111,7.158
1.353,6.622
1.73,6.277
0.242,2.748
1.508,5.297
1.191,4.533
1.485,4.588
1.177,5.743
2.469,3.975
1.75,6.818
2.47,3.253
3.847,3.792
3.333,6.639
1.582,4.156
2.89,2.847
1.685,5.224
1.396,2.152
1.22,2.394
2.896,1.947
2.751,5.097
2.445,8.451
2.481,6.362
1.91,3.573
3.159,5.273
2.137,2.064
1.802,5.619
2.372,6.147
1.974,5.354
2.612,4.743
2.762,6.374
0.694,3.176
4.241,7.321
1.591,7.411
3.398,0.892
-0.528,5.204
2.398,5.791
2.235,2.832
2.438,4.628
1.488,6.387
0.691,1.888
1.437,4.282
2.235,6.268
2.129,4.583
4.211,4.843
0.597,3.816
1.822,6.978
3.777,7.122
3.705,5.704
1.256,6.582
2.816,3.203
3.004,7.035
3.088,3.871
0.886,5.267
2.772,3.465
4.108,4.448
3.288,7.407
1.49,5.285
1.709,6.37
0.73,5.733
1.681,4.014
3.451,5.723
0.79,3.24
1.437,6.522
3.808,7.852
4.593,6.717
1.281,2.194
-0.014,5.845
1.254,4.098
1.034,3.604
3.281,5.168
1.669,7.395
1.958,3.954
0.553,6.904
2.861,5.198
2.394,1.921
1.689,5.988
-0.252,6.79
1.813,3.503
1.313,6.939
2.755,1.204
3.916,4.875
1.93,4.461
3.832,6.868
1.539,2.985
2.707,6.172
2.377,2.44
1.351,9.862
1.982,7.905
0.261,4.454
2.224,2.552
-0.493,3.203
2.,5.522
0.463,5.022
0.085,4.99
2.235,7.57
1.415,1.625
2.131,7.159
2.603,3.101
2.411,7.333
0.785,3.9
0.226,3.857
1.508,2.898
1.812,4.923
2.908,5.082
0.98,3.28
1.095,4.296
2.647,5.899
0.786,4.871
3.693,6.433
0.62,3.431
2.543,6.611
3.842,5.982
1.99,6.078
2.21,2.579
-0.213,6.029
1.991,7.241
3.966,6.105
1.157,4.027
2.052,5.622
1.551,3.
1.875,7.166
2.545,5.252
3.05,6.469
2.443,5.168
2.699,4.538
2.517,2.767
3.78,6.082
0.756,5.373
3.708,5.882
1.022,4.798
1.49,5.702
3.565,2.637
0.508,5.635
2.315,7.673
1.486,5.768
0.376,5.985
3.515,6.141
1.293,5.813
1.924,2.024
2.952,3.21
1.325,4.294
2.412,5.632
3.738,6.223
1.647,5.031
0.787,2.669
1.58,4.662
1.196,6.296
1.546,4.652
3.443,6.445
1.593,3.763
1.502,5.875
1.088,6.4
2.689,4.653
0.699,6.459
1.483,6.966
3.368,4.483
2.057,2.633
1.602,5.295
0.978,7.076
3.203,5.83
0.654,3.618
1.698,5.737
2.994,6.204
1.835,4.942
1.929,5.449
2.092,6.629
1.717,5.217
2.67,8.773
1.919,4.926
0.28,2.645
2.511,3.939
1.143,3.91
1.344,4.157
1.688,2.843
2.53,4.762
3.389,4.464
2.205,8.509
2.477,5.437
3.787,5.93
2.731,2.413
1.953,6.296
2.381,3.362
2.248,3.107
0.319,3.168
1.712,6.746
2.227,4.661
2.818,2.992
2.532,1.57
1.902,2.196
2.23,5.175
3.409,6.675
2.348,7.601
1.994,1.434
1.556,6.546
1.004,6.019
1.371,3.05
0.769,4.764
0.533,4.658
3.804,3.457
2.85,3.743
1.283,5.384
2.797,4.443
1.725,5.125
-0.264,4.556
1.113,3.986
2.129,0.696
1.763,5.475
2.451,4.457
3.28,6.776
3.125,3.187
1.432,6.684
2.53,4.616
1.599,6.373
1.48,5.575
0.865,4.318
2.59,5.119
0.454,5.583
2.667,4.322
1.492,3.756
2.288,4.066
4.021,5.095
3.733,5.112
3.81,6.159
1.919,5.453
2.944,6.789
1.071,4.531
1.403,1.624
2.742,4.314
1.352,4.343
3.087,7.877
2.972,4.413
3.34,9.578
2.546,4.748
3.144,5.981
2.545,4.934
2.811,2.119
1.888,6.526
1.58,6.641
2.22,3.508
3.417,4.839
1.435,5.582
0.806,5.767
1.615,4.614
2.331,7.549
4.063,3.504
2.36,5.163
1.441,5.139
2.827,3.833
1.929,6.158
2.328,5.71
0.876,6.296
1.471,5.824
2.003,0.992
2.258,7.254
3.295,6.39
1.084,4.206
2.533,3.304
1.787,2.603
0.702,2.947
2.334,6.497
1.652,6.103
2.032,6.042
1.968,5.266
1.093,1.94
0.52,4.746
2.072,5.982
1.503,7.004
1.812,3.257
1.112,3.999
-0.08,6.133
0.849,6.526
2.411,6.376
1.249,3.582
2.326,5.188
2.333,8.267
2.17,6.609
1.978,2.864
1.667,2.264
1.022,5.003
1.77,4.253
3.06,3.775
2.882,6.477
2.414,3.919
1.935,2.008
1.913,6.966
0.892,4.938
1.794,4.113
1.988,4.241
1.434,6.923
1.902,3.875
2.085,5.019
1.704,0.445
2.352,4.474
2.47,5.083
1.688,3.253
2.675,6.254
0.802,6.161
0.583,8.306
1.359,7.123
1.191,5.227
2.475,5.877
1.478,6.312
2.991,4.149
1.321,3.071
1.605,3.115
1.006,4.878
1.081,6.058
2.137,6.29
4.333,4.799
2.562,2.858
2.26,9.66
2.896,8.151
2.47,3.671
1.369,2.245
0.6,4.409
1.899,4.162
0.67,6.124
3.921,4.629
2.219,6.901
1.698,4.056
2.97,6.591
1.751,7.179
2.67,4.038
2.625,3.475
3.77,7.343
2.328,4.4
2.173,4.485
1.014,2.341
1.167,2.246
1.852,4.309
0.358,8.075
0.478,3.427
2.276,5.044
2.804,5.252
2.069,5.596
3.811,2.647
1.445,5.447
1.426,5.418
2.709,6.147
3.555,5.679
2.104,3.026
1.869,5.714
0.651,1.968
1.693,5.249
2.101,3.346
0.606,3.315
3.084,7.474
2.208,7.544
2.485,2.623
2.17,2.916
-0.942,3.665
3.04,7.847
2.947,4.77
0.531,6.075
2.311,4.577
1.416,6.555
0.814,1.482
3.088,5.47
3.708,5.908
5.084,4.198
2.466,4.193
2.566,3.586
2.845,6.68
1.453,3.387
1.579,6.874
-0.374,2.762
2.137,5.484
1.58,5.41
1.371,2.278
2.583,3.12
3.346,8.447
1.138,3.809
1.702,3.725
1.019,4.461
2.561,2.236
3.569,8.022
1.006,2.997
1.289,8.519
1.342,3.173
2.289,4.609
1.916,5.095
2.857,7.447
0.37,1.618
2.352,7.122
1.823,4.425
2.009,3.798
1.563,4.207
2.021,7.073
1.924,7.935
1.553,5.381
0.294,3.152
2.265,3.877
1.315,1.717
1.671,5.005
0.971,3.44
3.874,5.461
3.07,3.824
0.982,1.889
3.078,7.394
1.937,2.748
1.976,5.02
2.901,7.405
2.691,3.128
1.982,3.041
2.372,4.601
1.622,7.394
3.805,6.345
3.506,4.326
2.674,2.611
1.876,3.301
3.232,5.639
1.98,5.74
1.754,2.174
0.514,2.253
0.458,1.809
3.165,5.397
3.391,5.352
3.987,8.29
1.14,4.535
3.038,7.382
2.811,7.815
2.478,5.131
1.826,5.29
4.657,6.478
2.775,7.234
2.835,4.152
3.127,6.673
3.551,5.105
2.446,2.983
2.823,6.257
1.949,7.212
3.299,2.142
3.896,2.628
3.601,6.571
0.482,3.041
1.873,6.31
1.383,1.749
2.383,4.008
2.495,4.478
2.739,5.603
2.074,2.906
1.043,3.973
4.164,5.532
0.746,5.2
2.795,3.598
3.114,6.404
3.011,4.792
2.929,6.119
0.786,7.31
1.951,5.562
2.9,4.971
1.284,4.269
2.341,5.459
2.531,5.556
1.977,4.162
2.832,7.115
3.333,3.791
1.915,6.03
2.994,4.877
1.949,3.194
1.444,6.148
-1.689,1.43
1.861,4.375
2.201,7.956
4.241,6.908
0.751,5.74
0.963,4.928
2.21,2.681
1.203,3.651
0.022,5.062
1.121,3.489
0.899,2.893
3.591,4.072
2.15,4.098
3.448,4.847
1.751,6.847
3.942,6.021
0.596,5.551
2.18,1.795
1.868,4.4
2.482,4.767
1.194,4.004
1.823,5.819
1.6,4.995
1.793,6.935
0.622,2.441
4.001,6.382
3.055,5.773
2.995,4.252
3.426,3.239
